Age,M,F
0-4,21316,20046
5-9,20080,18684
10-14,18673,17287
15-19,14920,13754
20-24,12834,12714
25-29,11563,13096
30-34,10620,11529
35-39,8628,8779
40-44,7849,7773
45-49,6466,6245
50-54,5769,5423
55-59,4343,4225
60-64,3346,3074
65-69,2329,2161
70-74,1537,1473
75-79,914,803
80-84,683,599
85-89,134,149
90-94,30,27
95-99,4,3
100+,0,0
