"","X","SUBJECT_ID","AGE_in_years","CONDITION_1_1yes","CONDITION_2_1yes","CONDITION_3_1yes","age_c","age_2c","age_3c","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_choice_1yes"
"417",745,"Noe-2017-08-02-14-00",12.62,0,0,1,1.55356758411766,2.41357223842118,3.74964759153745,1,2,"laplata",0,1,0,0,0,0,0,0,1
"418",746,"Noe-2017-08-02-14-30",12.9,0,0,1,1.66645861263177,2.77708430761461,4.6278960624289,0,2,"laplata",0,1,0,0,0,0,0,0,0
"419",747,"Noe-2017-08-02-14-48",13.01,0,0,1,1.71080865954803,2.92686626958452,5.00730815934423,1,2,"laplata",0,1,0,0,0,0,0,0,0
"420",748,"Noe-2017-08-07-10-18",9.33,0,1,0,0.227097999076871,0.0515735011847185,0.0117122389244382,1,2,"laplata",0,1,0,0,0,0,0,0,0
"421",749,"Noe-2017-08-07-10-31",9.37,0,1,0,0.243225288864601,0.0591585411432685,0.0143888532583798,0,2,"laplata",0,1,0,0,0,0,0,0,1
"422",750,"Noe-2017-08-07-10-54",9.89,0,1,0,0.452880056105091,0.20510034521775,0.0928858558493882,1,2,"laplata",0,1,0,0,0,0,0,0,0
"423",751,"Noe-2017-08-07-11-15",9.47,1,0,0,0.283543513333926,0.0803969239537464,0.0227960262790857,0,2,"laplata",0,1,0,0,0,0,0,0,0
"424",752,"Noe-2017-08-07-11-39",9.14,0,1,0,0.150493372585154,0.022648255192054,0.00340841230702142,1,2,"laplata",0,1,0,0,0,0,0,0,0
"425",753,"Noe-2017-08-08-13-43",8.91,0,0,1,0.0577614563057064,0.00333638583455604,0.000192714504601686,0,2,"laplata",0,1,0,0,0,0,0,0,0
"426",754,"Noe-2017-08-08-14-19",8.91,0,0,1,0.0577614563057064,0.00333638583455604,0.000192714504601686,0,2,"laplata",0,1,0,0,0,0,0,0,0
"427",755,"Noe-2017-08-08-14-48",8.9,1,0,0,0.053729633858774,0.00288687355459792,0.000155110659085124,0,2,"laplata",0,1,0,0,0,0,0,0,1
"428",756,"Noe-2017-08-08-15-13",8.96,0,1,0,0.0779205685403692,0.00607161500165437,0.000473103692887144,1,2,"laplata",0,1,0,0,0,0,0,0,0
"429",757,"Noe-2017-08-09-13-49",12.57,0,1,0,1.533408471883,2.35134154164255,3.60556704024512,1,2,"laplata",0,1,0,0,0,0,0,0,1
"430",758,"Noe-2017-08-09-14-21",12.43,0,1,0,1.47696295762594,2.18141957819917,3.22187591204019,1,2,"laplata",0,1,0,0,0,0,0,0,0
"431",759,"Noe-2017-08-09-14-32",12.25,0,1,0,1.40439015358116,1.97231170347571,2.76989513615417,1,2,"laplata",0,1,0,0,0,0,0,0,1
"432",760,"Noe-2017-08-15-13-49",6.46,0,1,0,-0.930035043192754,0.864965181566548,-0.804447929998473,1,2,"laplata",0,1,0,0,0,0,0,0,0
"433",761,"Noe-2017-08-15-14-12",6.94,0,1,0,-0.736507565739994,0.542443394392252,-0.399513663955577,0,2,"laplata",0,1,0,0,0,0,0,0,0
"434",762,"Noe-2017-08-15-14-37",6.97,0,1,0,-0.724412098399197,0.524772888307128,-0.380151829201574,0,2,"laplata",0,1,0,0,0,0,0,0,0
"435",763,"Noe-2017-08-15-14-46",6.14,0,1,0,-1.05905336149459,1.121594022493,-1.18782791975345,1,2,"laplata",0,1,0,0,0,0,0,0,0
"436",764,"Noe-2017-08-15-15-15",6.17,0,1,0,-1.0469578941538,1.09612083213095,-1.14759235814593,1,2,"laplata",0,1,0,0,0,0,0,0,0
"437",765,"Noe-2017-08-21-11-02",11.79,0,1,0,1.21892632102226,1.48578137608087,1.81105802658965,0,2,"laplata",0,1,0,0,0,0,0,0,0
"438",766,"Noe-2017-08-21-11-15",12.79,0,0,1,1.62210856571551,2.63123619896764,4.26815077676613,1,2,"laplata",0,1,0,0,0,0,0,0,0
"439",767,"Noe-2017-08-21-11-34",12.2,1,0,0,1.3842310413465,1.9160955758272,2.65231897424671,1,2,"laplata",0,1,0,0,0,0,0,0,1
"440",768,"Noe-2017-08-21-11-47",12.37,1,0,0,1.45277202294435,2.11054655064981,3.06614298190575,0,2,"laplata",0,1,0,0,0,0,0,0,1
"441",769,"Noe-2017-08-22-13-50",12.04,0,0,1,1.31972188219558,1.74166584634583,2.29851452889528,0,2,"laplata",0,1,0,0,0,0,0,0,1
