"","X","SUBJECT_ID","ADULT_CHILD","AGE_in_years","age_c","GENDER","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_ad_choice_1yes"
"44",165,"Alejandro-2017-07-04-14-01","adult",26.58,-0.627186463864439,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"45",166,"Alejandro-2017-07-04-16-01","adult",17.95,-1.22167747541783,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"46",167,"Alejandro-2017-07-05-16-31","adult",33.9,-0.122936845721817,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"47",168,"Alejandro-2017-07-06-10-30","adult",25.32,-0.713983529282431,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
"48",169,"Alejandro-2017-07-06-11-32","adult",25.06,-0.731894034844874,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"49",170,"Alejandro-2017-07-06-15-07","adult",48.01,0.849052513839984,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
"50",171,"Alejandro-2017-07-07-09-46","adult",51.98,1.12253215646652,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,1
"51",173,"Alejandro-2017-07-07-14-42","adult",47.22,0.7946321315541,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"52",182,"Andrew-2017-07-06-12-55","adult",17.47,-1.25474302414849,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
"53",184,"Andrew-2017-07-07-10-58","adult",41.03,0.36822432604825,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
"54",185,"Andrew-2017-07-07-13-34","adult",20.43,-1.05083880697607,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,1
"55",186,"Andrew-2017-07-07-15-21","adult",45.86,0.700946410150553,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
"56",193,"Andrew-2017-07-11-10-11","adult",43.59,0.544573919278456,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,1
"57",194,"Andrew-2017-07-11-10-43","adult",47.58,0.819431293102098,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
"58",195,"Andrew-2017-07-11-11-12","adult",43.47,0.53630753209579,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
"59",197,"Alejandro-2017-07-11-10-49","adult",55.18,1.34296914800427,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"60",198,"Alejandro-2017-07-11-11-16","adult",35.04,-0.0444061674864911,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"61",199,"Andrew-2017-07-29-10-44","adult",42.15,0.445377273086465,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
"62",200,"Andrew-2017-07-29-12-25","adult",45.06,0.645837162266114,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"63",212,"Suheyla-2017-06-19-10-57","adult",46.5,0.745033808458105,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,1
"64",213,"Iris-2017-06-19-09-36","adult",42.27,0.453643660269131,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,1
"65",261,"Suheyla-2017-06-23-17-33","adult",66.42,2.11725408078065,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
"66",262,"Suheyla-2017-06-23-18-31","adult",68.04,2.22885030774664,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,1
"67",263,"Suheyla-2017-06-23-18-57","adult",68.9,2.28809274922241,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,1
"68",264,"Suheyla-2017-06-23-19-38","adult",44.49,0.606571823148451,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,1
"69",265,"Suheyla-2017-06-23-20-06","adult",56.68,1.4462989877876,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,0
"70",266,"Suheyla-2017-06-23-20-37","adult",63.78,1.935393562762,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
"71",267,"Suheyla-2017-06-23-21-12","adult",49.57,0.956515547214641,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,1
"72",268,"Suheyla-2017-06-23-21-38","adult",21.45,-0.980574515923407,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,1
