"","X","SUBJECT_ID","AGE_in_years","age_c","age_2c","age_3c","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_choice_1yes"
"34",209,"Alejandro-2017-08-07-09-26",8.6,-0.240622129175477,0.0578990090489398,-0.0139317828345061,0,5,"shuar",0,0,0,0,1,0,0,0,0
"35",221,"Suheyla-2017-06-20-14-22",8.39,-0.319108409952502,0.101830177302414,-0.0324948659641546,1,4,"pune",0,0,0,1,0,0,0,0,1
"36",223,"Suheyla-2017-06-20-12-39",7.9,-0.502243065098894,0.252248096439932,-0.126689857121353,0,4,"pune",0,0,0,1,0,0,0,0,1
"37",225,"Iris-2017-06-20-13-02",7.45,-0.670427952478234,0.449473639464157,-0.301339691798894,0,4,"pune",0,0,0,1,0,0,0,0,0
"38",227,"Iris-2017-06-20-14-17",7.17,-0.775076326847601,0.600743312439568,-0.465621919983921,1,4,"pune",0,0,0,1,0,0,0,0,0
"39",234,"Iris-2017-06-21-14-08",6.66,-0.965685865877519,0.932549191555613,-0.900549573520762,1,4,"pune",0,0,0,1,0,0,0,0,0
"40",237,"Suheyla-2017-06-21-11-57",8.35,-0.334058177719554,0.111594866101309,-0.0372791776126611,0,4,"pune",0,0,0,1,0,0,0,0,0
"41",240,"Suheyla-2017-06-21-14-32",7.74,-0.562042136167103,0.315891362827281,-0.177544256360182,1,4,"pune",0,0,0,1,0,0,0,0,0
"42",243,"Suheyla-2017-06-22-10-15",6.62,-0.980635633644571,0.96164624597349,-0.943024575762136,0,4,"pune",0,0,0,1,0,0,0,0,0
"43",244,"Suheyla-2017-06-22-10-38",6.52,-1.0180100530622,1.03634446813571,-1.05500908699755,1,4,"pune",0,0,0,1,0,0,0,0,0
"44",248,"Suheyla-2017-06-22-14-23",6.52,-1.0180100530622,1.03634446813571,-1.05500908699755,1,4,"pune",0,0,0,1,0,0,0,0,0
"45",251,"Iris-2017-06-22-10-57",8.52,-0.270521664709582,0.0731819710772433,-0.0197973086425443,0,4,"pune",0,0,0,1,0,0,0,0,1
"46",257,"Iris-2017-06-22-14-55",10.65,0.52555346888596,0.276206448658066,0.145161257220918,0,4,"pune",0,0,0,1,0,0,0,0,1
"47",260,"Iris-2017-06-22-10-11",8.37,-0.326583293836028,0.10665664781279,-0.03483227935221,1,4,"pune",0,0,0,1,0,0,0,0,0
"48",269,"Suheyla-2017-06-23-09-18",9.18,-0.0238504965532166,0.000568846185834999,-1.35672639945681e-05,1,4,"pune",0,0,0,1,0,0,0,0,0
"49",277,"Suheyla-2017-06-28-10-34",11.02,0.663838820731194,0.440681979909783,0.292541805860798,0,4,"pune",0,0,0,1,0,0,0,0,0
"50",278,"Suheyla-2017-06-27-13-47",10.29,0.391005558982488,0.152885347155208,0.0597790206246537,0,4,"pune",0,0,0,1,0,0,0,0,0
"51",279,"Suheyla-2017-06-27-13-03",10.68,0.536765794711249,0.288117518371999,0.154651628719179,1,4,"pune",0,0,0,1,0,0,0,0,0
"52",280,"Suheyla-2017-06-27-11-29",9.95,0.263932532962542,0.0696603819560234,0.0183856410567914,0,4,"pune",0,0,0,1,0,0,0,0,0
"53",283,"Suheyla-2017-06-27-10-11",10.45,0.450804630050697,0.203224814475146,0.0916146873065899,1,4,"pune",0,0,0,1,0,0,0,0,0
"54",300,"Iris-2017-06-27-10-17",9.15,-0.0350628223785057,0.00122940151314664,-4.31062868873268e-05,1,4,"pune",0,0,0,1,0,0,0,0,0
"55",301,"Iris-2017-06-27-10-38",9.32,0.028473690631467,0.000810751058176493,2.3085074809652e-05,0,4,"pune",0,0,0,1,0,0,0,0,0
"56",305,"Iris-2017-06-28-13-44",11.41,0.809599056459956,0.655450632220851,0.530652213402082,1,4,"pune",0,0,0,1,0,0,0,0,0
"57",309,"Iris-2017-06-29-10-27",11.88,0.985258827722822,0.970734957605749,0.956425186360203,0,4,"pune",0,0,0,1,0,0,0,0,0
"58",312,"Iris-2017-06-29-13-19",12.13,1.0786948762669,1.16358263608446,1.25515062765744,0,4,"pune",0,0,0,1,0,0,0,0,0
"59",313,"Iris-2017-06-29-14-15",12.24,1.11980673762629,1.25396712963324,1.40420084052521,1,4,"pune",0,0,0,1,0,0,0,0,0
"60",317,"Jahnavi-2017-06-23-11-30",5.42,-1.42912866665614,2.04240874585837,-2.91886488773541,0,4,"pune",0,0,0,1,0,0,0,0,0
