"","X","SUBJECT_ID","AGE_in_years","CONDITION_1_1yes","CONDITION_2_1yes","CONDITION_3_1yes","age_c","age_2c","age_3c","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_choice_1yes"
"64",336,"Iris-2017-06-23-10-29",6.72,0,0,1,-0.806277854974396,0.650083979422113,-0.52414831648168,0,4,"pune",0,0,0,1,0,0,0,0,0
"65",338,"Iris-2017-06-27-13-30",9.28,0,0,1,0.201789167191965,0.0407188679960267,0.00821662646191778,0,4,"pune",0,0,0,1,0,0,0,0,1
"66",343,"Iris-2017-07-03-10-37",13.35,0,0,1,1.80445822196427,3.25606947481444,5.87544133511578,1,4,"pune",0,0,0,1,0,0,0,0,0
"67",348,"Iris-2017-07-04-10-59",13.21,0,0,1,1.74932955668954,3.06015389790763,5.35321766162853,0,4,"pune",0,0,0,1,0,0,0,0,0
"68",350,"Suheyla-2017-06-29-09-44",11.3,0,0,1,0.997217051870109,0.994441848540513,0.991674368457832,1,4,"pune",0,0,0,1,0,0,0,0,1
"69",352,"Suheyla-2017-06-29-10-53",11.99,0,0,1,1.26892261643839,1.61016460650884,2.04317428538768,0,4,"pune",0,0,0,1,0,0,0,0,0
"70",355,"Iris-2017-07-04-11-57",13.57,0,0,1,1.89108898168169,3.57621753663788,6.76294557963272,1,4,"pune",0,0,0,1,0,0,0,0,0
"71",358,"Suheyla-2017-07-04-12-13",13.3,0,0,1,1.78476941293758,3.18540185735755,5.68520780292631,1,4,"pune",0,0,0,1,0,0,0,0,0
"72",362,"Suheyla-2017-07-04-10-08",7.7,0,0,1,-0.420377198051336,0.176716988641492,-0.0742877925331801,0,4,"pune",0,0,0,1,0,0,0,0,0
"73",369,"Iris-2017-06-28-10-08",10.26,0,0,1,0.587689824115025,0.345379329368349,0.20297591732945,1,4,"pune",0,0,0,1,0,0,0,0,0
"74",370,"Iris-2017-06-20-11-07",7.09,0,0,1,-0.660580668176914,0.436366819169058,-0.288255484976931,1,4,"pune",0,0,0,1,0,0,0,0,1
"75",371,"Iris-2017-06-21-15-07",6.86,0,0,1,-0.751149189699673,0.564225105186475,-0.423817230569033,0,4,"pune",0,0,0,1,0,0,0,0,1
"76",379,"Iris-2017-06-29-10-44",11.88,0,0,1,1.22560723657968,1.50211309835647,1.84100068350681,1,4,"pune",0,0,0,1,0,0,0,0,0
"77",385,"Jahnavi-2017-06-22-11-50",5.09,0,0,1,-1.44813302924438,2.09708927038851,-3.03686423772361,0,4,"pune",0,0,0,1,0,0,0,0,1
"78",387,"Jahnavi-2017-06-23-09-02",4.95,0,0,1,-1.50326169451911,2.25979572220845,-3.39706434663411,1,4,"pune",0,0,0,1,0,0,0,0,1
"79",388,"Jahnavi-2017-06-23-09-38",5.1,0,0,1,-1.44419526743905,2.08569997049334,-3.01215802668424,1,4,"pune",0,0,0,1,0,0,0,0,1
"80",390,"Jahnavi-2017-06-27-10-58",5.49,0,0,1,-1.29062255703089,1.66570658471695,-2.14979849163058,0,4,"pune",0,0,0,1,0,0,0,0,0
"81",392,"Jahnavi-2017-06-29-09-19",5.39,0,0,1,-1.33000017508426,1.76890046572417,-2.35263792911978,1,4,"pune",0,0,0,1,0,0,0,0,1
"82",396,"Jahnavi-2017-06-30-10-24",4.97,0,0,1,-1.49538617090843,2.23617980014418,-3.34395234880039,0,4,"pune",0,0,0,1,0,0,0,0,0
"83",397,"Jahnavi-2017-06-30-10-41",4.92,0,0,1,-1.51507497993512,2.2954521948254,-3.47778218801712,0,4,"pune",0,0,0,1,0,0,0,0,1
"84",558,"Noe-2017-06-05-14-14",5.13,0,0,1,-1.43238198202303,2.05171814242424,-2.93884409939824,0,2,"laplata",0,1,0,0,0,0,0,0,0
"85",566,"Noe-2017-06-07-11-46",5.64,0,0,1,-1.23155612995083,1.51673050121946,-1.86793874626023,0,2,"laplata",0,1,0,0,0,0,0,0,1
"86",568,"Noe-2017-06-08-14-08",8.31,0,0,1,-0.180173727925757,0.0324625722346649,-0.00584890265757875,0,2,"laplata",0,1,0,0,0,0,0,0,0
"87",569,"Noe-2017-06-08-14-40",5.97,0,0,1,-1.1016099903747,1.21354457089334,-1.33685282306108,1,2,"laplata",0,1,0,0,0,0,0,0,0
"88",594,"Carla-2017-06-09-09-36",8.69,0,0,1,-0.0305387793229386,0.000932617042535142,-2.84809860547924e-05,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"89",596,"Carla-2017-06-09-10-43",8.73,0,0,1,-0.0147877321015889,0.000218677020708361,-3.23373719900885e-06,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"90",597,"Carla-2017-06-09-11-30",9.02,0,0,1,0.0994073602531939,0.00988182327250827,0.000982325966008625,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"91",598,"Carla-2017-06-09-12-02",8.77,0,0,1,0.000963315119760201,9.2797601995861e-07,8.93933330801023e-10,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"92",599,"Carla-2017-06-09-14-22",9.09,0,0,1,0.126971692890555,0.0161218107954935,0.00204701360916505,0,6,"wiichi",0,0,0,0,0,1,0,0,0
"93",602,"Carla-2017-06-12-10-21",8.46,0,0,1,-0.121107300845697,0.0146669783181302,-0.00177627815567111,0,6,"wiichi",0,0,0,0,0,1,0,0,0
"94",612,"Carla-2017-06-13-13-53",11.23,0,0,1,0.969652719232748,0.940226395915462,0.911693081493834,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"95",613,"Carla-2017-06-13-14-16",11.56,0,0,1,1.09959885880888,1.20911765029379,1.32954438842873,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"96",614,"Carla-2017-06-13-14-44",10.96,0,0,1,0.86333315048864,0.74534412873264,0.643480294856961,0,6,"wiichi",0,0,0,0,0,1,0,0,1
"97",615,"Carla-2017-06-14-09-13",11.18,0,0,1,0.949963910206061,0.902431430693989,0.857277290594912,0,6,"wiichi",0,0,0,0,0,1,0,0,0
"98",616,"Carla-2017-06-14-09-46",10.44,0,0,1,0.658569536611097,0.433713834552155,0.285630719042835,0,6,"wiichi",0,0,0,0,0,1,0,0,1
"99",617,"Carla-2017-06-14-10-08",11.98,0,0,1,1.26498485463305,1.600186682451,2.02421191788601,0,6,"wiichi",0,0,0,0,0,1,0,0,1
"100",618,"Carla-2017-06-14-10-29",10.48,0,0,1,0.674320583832447,0.454708249780132,0.306619132465169,0,6,"wiichi",0,0,0,0,0,1,0,0,0
"101",626,"Carla-2017-06-15-11-23",8.9,0,0,1,0.052154218589146,0.00272006251664442,0.000141862735069216,0,6,"wiichi",0,0,0,0,0,1,0,0,0
"102",627,"Carla-2017-06-15-12-00",8.56,0,0,1,-0.0817296827923237,0.00667974104933386,-0.00054593311709692,0,6,"wiichi",0,0,0,0,0,1,0,0,0
"103",632,"Carla-2017-06-16-14-22",12.45,0,0,1,1.4500596594839,2.10267301606258,3.04900131767769,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"104",634,"Julia-2017-06-12-09-35",9.83,0,0,1,0.418366066485519,0.175030165586566,0.0732266818927607,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"105",646,"Julia-2017-06-14-10-46",10.6,0,0,1,0.721573725496495,0.520668641326891,0.375700811271443,1,6,"wiichi",0,0,0,0,0,1,0,0,1
"106",647,"Julia-2017-06-14-11-15",10.56,0,0,1,0.705822678275146,0.4981856531675,0.351630731996938,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"107",653,"Noe-2017-06-14-09-27",10.42,0,0,1,0.650694013000423,0.423402698554594,0.275505601037697,1,2,"laplata",0,1,0,0,0,0,0,0,1
"108",658,"Noe-2017-06-21-08-57",10.34,0,0,1,0.619191918557724,0.383398632007195,0.237397334524942,1,2,"laplata",0,1,0,0,0,0,0,0,0
"109",662,"Noe-2017-06-21-11-24",7.13,0,0,1,-0.644829620955565,0.415805240061697,-0.268123535340322,1,2,"laplata",0,1,0,0,0,0,0,0,0
"110",663,"Carla-2017-06-19-09-11",12.66,0,0,1,1.53275265739599,2.34933070875446,3.60094288694541,1,6,"wiichi",0,0,0,0,0,1,0,0,1
"111",664,"Carla-2017-06-19-09-44",12.95,0,0,1,1.64694774975077,2.71243689040913,4.46724183300029,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"112",665,"Carla-2017-06-19-10-13",12.91,0,0,1,1.63119670252942,2.66080268234286,4.34029256151911,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"113",666,"Carla-2017-06-19-10-47",12.67,0,0,1,1.53669041920133,2.36141744446515,3.62876756264447,0,6,"wiichi",0,0,0,0,0,1,0,0,0
"114",667,"Carla-2017-06-19-11-15",13.47,0,0,1,1.85171136362831,3.42883497419023,6.34921268571424,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"115",670,"Carla-2017-06-22-10-24",12.69,0,0,1,1.544565942812,2.38568395169472,3.68484618210082,0,6,"wiichi",0,0,0,0,0,1,0,0,0
